address_id,atm.address1,atm.suburb,atm.state,atm.postcode,atm.latitude,atm.longitude,address
171,30 Main Street,Box Hill,VIC,3128,-37.818947,145.12258,30 Main Street Box Hill VIC 3128
172,333 Springvale Road,Springvale,VIC,3171,-37.951057,145.152583,333 Springvale Road Springvale VIC 3171
173,"Eastland Shopping Centre, 171-175 Maroondah Highway",Ringwood,VIC,3134,-37.813561,145.228367,"Eastland Shopping Centre, 171-175 Maroondah Highway Ringwood VIC 3134"
174,288 Lygon Street,Carlton,VIC,3053,-37.800216,144.967263,288 Lygon Street Carlton VIC 3053
175,3 Ordish Road,Dandenong South,VIC,3175,-38.012935,145.196422,3 Ordish Road Dandenong South VIC 3175
176,"Broadmeadows Shopping Centre, 1099 - 1169 Pascoe Vale Road",Broadmeadows,VIC,3047,-37.679358,144.92088,"Broadmeadows Shopping Centre, 1099 - 1169 Pascoe Vale Road Broadmeadows VIC 3047"
177,260 Clarendon Street,South Melbourne,VIC,3205,-37.832441,144.960053,260 Clarendon Street South Melbourne VIC 3205
178,135 Manifold Street,Camperdown,VIC,3260,-38.233709,143.148264,135 Manifold Street Camperdown VIC 3260
179,"Woodgrove Shopping Centre, 533-555 High Street",Melton,VIC,3337,-37.686322,144.562271,"Woodgrove Shopping Centre, 533-555 High Street Melton VIC 3337"
180,"Tarneit Central Shopping Centre, 540 Derrimut Road",Tarneit,VIC,3029,-37.836745,144.692388,"Tarneit Central Shopping Centre, 540 Derrimut Road Tarneit VIC 3029"
181,16 Kingsway,Glen Waverley,VIC,3150,-37.878943,145.164216,16 Kingsway Glen Waverley VIC 3150
182,"Werribee Plaza Shopping Centre, Derrimut Road",Hoppers Crossing,VIC,3029,-37.874877,144.681527,"Werribee Plaza Shopping Centre, Derrimut Road Hoppers Crossing VIC 3029"
183,22 Watton Street,Werribee,VIC,3030,-37.9013437,144.6610027,22 Watton Street Werribee VIC 3030
184,406 Sydney Road,Coburg,VIC,3058,-37.743756,144.966389,406 Sydney Road Coburg VIC 3058
185,75-77 Firebrace Street,Horsham,VIC,3400,-36.7157289,142.1999347,75-77 Firebrace Street Horsham VIC 3400
186,"Sunshine Marketplace, 80 Harvester Road",Sunshine,VIC,3020,-37.782018,144.832101,"Sunshine Marketplace, 80 Harvester Road Sunshine VIC 3020"
187,"Dandenong Plaza, 1 McCrae Street",Dandenong,VIC,3175,-37.986467,145.218482,"Dandenong Plaza, 1 McCrae Street Dandenong VIC 3175"
188,"Westfield Fountain Gate, 352 Princes Highway",Narre Warren,VIC,3805,-38.018206,145.304441,"Westfield Fountain Gate, 352 Princes Highway Narre Warren VIC 3805"
189,"The Pines Shopping Centre, 181 Reynolds Road",Doncaster East,VIC,3109,-37.762729,145.168233,"The Pines Shopping Centre, 181 Reynolds Road Doncaster East VIC 3109"
190,"Mill Park Shopping Centre The Stables, 314 Childs Road",Mill Park,VIC,3082,-37.666462,145.060968,"Mill Park Shopping Centre The Stables, 314 Childs Road Mill Park VIC 3082"
191,196-208 Russell Street,Melbourne,VIC,3000,-37.811638,144.967743,196-208 Russell Street Melbourne VIC 3000
192,Southland Shopping Centre,Cheltenham,VIC,3192,-37.9582729,145.0540754,Southland Shopping Centre Cheltenham VIC 3192
193,"Brandon Park Shopping Centre, 608 Ferntree Gully Road",Mulgrave,VIC,3150,-37.905402,145.163059,"Brandon Park Shopping Centre, 608 Ferntree Gully Road Mulgrave VIC 3150"
194,"Westfield Doncaster, 619 Doncaster Road",Doncaster,VIC,3108,-37.78638,145.125191,"Westfield Doncaster, 619 Doncaster Road Doncaster VIC 3108"
195,"Westfield Airport West, 29-35 Louis Street",Airport West,VIC,3042,-37.713926,144.887986,"Westfield Airport West, 29-35 Louis Street Airport West VIC 3042"
196,39-41 High Street,Berwick,VIC,3806,-38.0309209,145.3462136,39-41 High Street Berwick VIC 3806
197,330 Collins Street,Melbourne,VIC,3000,-37.816309,144.9632169,330 Collins Street Melbourne VIC 3000
198,535 Bourke St,Melbourne,VIC,3000,-37.815865,144.958025,535 Bourke St Melbourne VIC 3000
199,"Shop 1, 19-21 Douglas Parade",Williamstown,VIC,3016,-37.8579551,144.8978057,"Shop 1, 19-21 Douglas Parade Williamstown VIC 3016"
200,383 Centre Road,Bentleigh,VIC,3204,-37.9182968,145.0377574,383 Centre Road Bentleigh VIC 3204
201,16 Gilbert Street,Torquay,VIC,3228,-38.3320921,144.3243424,16 Gilbert Street Torquay VIC 3228
